Map,rank,simple,heft
1000genome-chameleon-2ch-250k-001-1,30,970,0
1000genome-chameleon-2ch-250k-001-2,25,194,781
1000genome-chameleon-2ch-250k-001-4,22,129,849
1000genome-chameleon-2ch-250k-001-8,3,49,948
1000genome-chameleon-2ch-250k-001-16,2,54,944
1000genome-chameleon-4ch-250k-001-1,14,986,0
1000genome-chameleon-4ch-250k-001-2,14,153,833
1000genome-chameleon-4ch-250k-001-4,0,65,935
1000genome-chameleon-4ch-250k-001-8,1,28,971
1000genome-chameleon-4ch-250k-001-16,0,30,970
1000genome-chameleon-12ch-250k-001-1,30,970,0
1000genome-chameleon-12ch-250k-001-2,2,65,933
1000genome-chameleon-12ch-250k-001-4,0,13,987
1000genome-chameleon-12ch-250k-001-8,0,7,993
1000genome-chameleon-12ch-250k-001-16,0,5,995
1000genome-chameleon-18ch-250k-001-1,162,838,0
1000genome-chameleon-18ch-250k-001-2,0,77,923
1000genome-chameleon-18ch-250k-001-4,0,10,990
1000genome-chameleon-18ch-250k-001-8,0,6,994
1000genome-chameleon-18ch-250k-001-16,0,5,995
cycles-chameleon-1l-1c-9p-001-1,189,811,0
cycles-chameleon-1l-1c-9p-001-2,76,158,766
cycles-chameleon-1l-1c-9p-001-4,75,165,760
cycles-chameleon-1l-1c-9p-001-8,71,168,761
cycles-chameleon-1l-1c-9p-001-16,85,118,797
cycles-chameleon-2l-1c-9p-001-1,156,844,0
cycles-chameleon-2l-1c-9p-001-2,43,91,866
cycles-chameleon-2l-1c-9p-001-4,30,57,913
cycles-chameleon-2l-1c-9p-001-8,36,41,923
cycles-chameleon-2l-1c-9p-001-16,42,54,904
cycles-chameleon-2l-1c-12p-001-1,0,1000,0
cycles-chameleon-2l-1c-12p-001-2,41,55,904
cycles-chameleon-2l-1c-12p-001-4,21,22,957
cycles-chameleon-2l-1c-12p-001-8,11,5,984
cycles-chameleon-2l-1c-12p-001-16,7,8,985
cycles-chameleon-5l-1c-12p-001-1,100,900,0
cycles-chameleon-5l-1c-12p-001-2,18,46,936
cycles-chameleon-5l-1c-12p-001-4,1,3,996
cycles-chameleon-5l-1c-12p-001-8,1,1,998
cycles-chameleon-5l-1c-12p-001-16,0,0,1000
